Dimension,Category,Model,N,N_households,mean_kwh,mean_bias,median_bias,MAE,RMSE,R2,sMAPE,MedAE,P10_bias,P90_bias
PV System,Without PV,ElasticNet,41034,456,40.13113174440708,2.4723586634994104,0.6795542127123504,13.541478397216956,19.058790651967083,0.20076654527628957,35.20092108407093,9.986440057821547,-17.934311630293333,24.007624662789542
Living Area,100-150,RF,18191,202,34.406060689351875,0.5353035514338753,-0.6883529106449373,6.20660711390368,9.58428978441927,0.7226836001385444,20.3352032989336,3.9771567561327537,-8.204898068834403,10.450947139971163
Living Area,100-150,XGBoost,18191,202,34.406060689351875,-0.2766067511645715,-1.3858711242675774,6.526975706440287,9.737117606877472,0.7137691027145849,21.414190133074385,4.365166320800782,-9.530122985839844,10.013911437988284
Living Area,100-150,LightGBM,18191,202,34.406060689351875,-0.0703433116864837,-1.2840095744442586,6.607276483953596,9.791337849428341,0.7105725267293691,21.833858857972015,4.457435622283743,-9.463038398027294,10.420236399096716
Living Area,100-150,DT,18191,202,34.406060689351875,0.9988474210403706,-0.049721627408985114,7.913354729519773,11.859794567090145,0.5753706454077722,25.60668388071469,5.181666666666672,-10.700786516853924,13.613846153846154
Living Area,100-150,ANN,18191,202,34.406060689351875,2.6341027362112563,0.7774189257663195,9.454630870091469,13.666413567080806,0.4361484235798275,30.103143564765638,6.468668758520323,-10.94063523934565,18.526846383873007
Living Area,100-150,ElasticNet,18191,202,34.406060689351875,5.311191388519896,3.3220635646979915,12.82111702412157,17.679505213276933,0.05638270131609546,40.03200840878477,9.437614493398957,-13.057050338083684,26.255467118215496
Living Area,150-200,RF,33492,372,37.163506210438314,-0.02416833534546213,-1.281376761449856,7.37458829419546,11.454286895993656,0.6693355882927884,21.652523469857844,4.839111281673906,-10.736524909018765,11.154659792279952
Living Area,150-200,XGBoost,33492,372,37.163506210438314,-1.2964876836011179,-2.2226602172851564,7.877677247800075,11.635339694406133,0.6587996433214802,23.197164739543467,5.486820716857911,-12.725899307250977,10.218544052124024
Living Area,150-200,LightGBM,33492,372,37.163506210438314,-0.9136835854840052,-1.8660955262647008,7.723433478500377,11.530236619778567,0.6649359897848002,22.782120731964113,5.328922891673422,-12.036503765606081,10.389168635000148
Living Area,150-200,DT,33492,372,37.163506210438314,0.4548985347986718,-0.6782547807835595,9.25578345483781,13.952051933477692,0.5094000374845289,26.729386243229946,6.210582497212927,-13.188336012394673,14.852969907407388
Living Area,150-200,ANN,33492,372,37.163506210438314,3.327059663797189,1.5618156717763867,10.888298790022645,15.635079170770217,0.38389957017308685,31.396761999424665,7.618319216903105,-12.844014707076928,21.273185884388162
Living Area,150-200,ElasticNet,33492,372,37.163506210438314,4.912254254074658,2.6429154875182874,13.24230807703797,19.206528779701703,0.07028656877798012,37.31417132456924,9.407618339978242,-14.111370070159463,25.756095206600364
Living Area,200-300,RF,16293,181,43.56420303197692,0.45147200987218505,-1.0615210627705594,8.388020135028757,12.630186239297311,0.699355256784891,21.442112495569194,5.476726784141945,-11.864077722366506,14.049443866560594
Living Area,200-300,XGBoost,16293,181,43.56420303197692,-0.6471767410978547,-1.8234933471679682,8.678027688334282,12.635867596274199,0.6990847216966094,22.303491296869815,6.110435791015625,-13.205392425537111,12.946657867431647
Living Area,200-300,LightGBM,16293,181,43.56420303197692,-0.7901268049756025,-1.9143863351723738,8.77835035364374,12.967061638649882,0.6831036361107032,22.269998454173816,6.047015901733818,-13.166612881959946,13.01222805171749
Living Area,200-300,DT,16293,181,43.56420303197692,0.4596954424485092,-0.4189189189189122,10.954779156657832,16.818566418519833,0.4668958604719635,26.95148349446523,7.294000000000011,-15.21500400228707,18.29192000000001
Living Area,200-300,ANN,16293,181,43.56420303197692,3.3831154695620995,1.3687569300467963,11.272655734492961,15.96874026799172,0.5194092364948759,28.410095540135544,8.11070930486401,-13.42587320036411,22.26082387481802
Living Area,200-300,ElasticNet,16293,181,43.56420303197692,5.569227240266669,2.028027032599393,16.1205757633972,22.68481995822902,0.030149533383699967,39.03157411335523,11.69267411875476,-17.20309831406344,33.115218186493784
Living Area,<100,RF,1893,21,29.48015319598521,-0.41386096030553127,-0.7061645101009972,5.685595234264505,8.84896114094381,0.640451705813204,24.474602801821003,3.3278940036075326,-9.726094615266156,8.107583053823955
Living Area,<100,XGBoost,1893,21,29.48015319598521,-1.2683597816929133,-1.4196165466308592,5.876205118954717,8.801472180774267,0.6443004645597857,24.98483522847128,3.614106445312501,-10.447981964111328,7.35557290649414
Living Area,<100,LightGBM,1893,21,29.48015319598521,-0.886835376562309,-0.9862667419945481,5.921259044550207,9.03722342168946,0.6249901326338876,25.20082595805015,3.6094870128462944,-10.811991953741517,8.05081158800051
Living Area,<100,DT,1893,21,29.48015319598521,-1.233249720251502,-1.2675903614457908,6.969925949885326,10.145676902653282,0.527355387145116,27.391871067725234,4.4625806451612995,-12.333586921743768,8.765123211813561
Living Area,<100,ANN,1893,21,29.48015319598521,1.4473714613075912,0.7167177765252291,8.81914903708805,12.310723316406897,0.3041112781115185,38.18783643429671,6.078906541211218,-12.437526771192069,16.251258574751482
Living Area,<100,ElasticNet,1893,21,29.48015319598521,4.118836059471472,2.853097305356247,9.748028028049754,12.724550702321453,0.2565400642165532,38.152114688951485,7.492089299917385,-9.792083318436807,20.92768372492709
Living Area,>300,RF,3240,36,67.72583333333333,1.3256982141922127,-0.4814338499277966,12.531962066083846,17.574787348553222,0.7477574613557201,21.395536111504452,8.799034062049017,-17.420867658369506,23.041782156782094
Living Area,>300,XGBoost,3240,36,67.72583333333333,-0.426596928908501,-2.3399602508544923,11.920903376620492,16.60037719425491,0.7749525567310287,20.18222912198798,8.663219795227048,-17.91451388549804,19.17327871704101
Living Area,>300,LightGBM,3240,36,67.72583333333333,-1.7680943900494792,-3.0003154656112088,12.454428508675617,16.898533139147933,0.7667958973934348,21.409687101576687,9.054376633687031,-20.459423850339853,18.430328945034763
Living Area,>300,DT,3240,36,67.72583333333333,-0.5195866715295075,-1.4113000000000007,15.699650525007135,21.355794847372707,0.6275485654813711,26.938561253389032,11.428937500000004,-25.175836111111096,24.343332412268577
Living Area,>300,ANN,3240,36,67.72583333333333,8.067824465196221,5.155184281887543,16.80212358126486,22.610160764398433,0.5825105824328358,32.03908264155484,12.784387597198872,-15.729956535397422,35.631165340327016
Living Area,>300,ElasticNet,3240,36,67.72583333333333,16.015707713006908,11.460876876624628,25.728340466364223,34.54765420345822,0.025290275644132554,40.829429960063194,18.50080349355926,-18.517452234470227,59.23346205440819
Living Area,Unknown,RF,1259,14,41.23907069102462,-0.684238030180943,-2.004640935065005,6.065349565160247,8.442669477412473,0.7943141296505088,17.189323179643385,4.408889195526708,-9.079023338672464,8.76866154285716
Living Area,Unknown,XGBoost,1259,14,41.23907069102462,-1.4969201158094823,-2.342438812255857,6.040512803026946,8.187688848962958,0.8065505300072341,17.097990064245877,4.799663696289063,-10.177581192016602,8.031668151855476
Living Area,Unknown,LightGBM,1259,14,41.23907069102462,-1.160619112100956,-2.2087322989204345,5.912153610730377,8.094686112980913,0.8109202978128185,16.580108786880622,4.608802131291526,-9.327042588589348,7.688440822012368
Living Area,Unknown,DT,1259,14,41.23907069102462,-0.2726557970743715,-1.5552631578947356,7.638012355410232,10.686817376982162,0.6704345623391306,20.521287273466235,5.219152542372868,-11.513680703959789,12.408888888888903
Living Area,Unknown,ANN,1259,14,41.23907069102462,-0.44165485654442743,0.21799267856846427,10.46495919273968,16.207298689476396,0.24200532293677834,25.210878049360296,6.335016249633274,-13.54777751097027,16.326819832695953
Living Area,Unknown,ElasticNet,1259,14,41.23907069102462,4.732017955803737,3.235475671971848,12.786261822072177,16.736648754586767,0.19168267430745256,33.8961783878203,9.425230924250698,-14.631037051922771,25.96205537678946
Group,Control,RF,68893,765,38.808834424397254,0.2961342426279882,-1.024832975877061,7.5670460506052555,11.731544812043985,0.7198473703779101,21.640286029356044,4.8034401757275305,-10.689969389265311,12.246808650360743
Group,Control,XGBoost,68893,765,38.808834424397254,-0.8034296432863589,-1.8425807189941423,7.89849452892957,11.740262924367546,0.71943083365607,22.732816141504937,5.339713745117187,-12.283787200927732,11.3149114151001
Group,Control,LightGBM,68893,765,38.808834424397254,-0.657970933611409,-1.6716165531646823,7.885280808258841,11.803625047844484,0.7163942013949004,22.672799183517032,5.291316462514022,-11.983341314628028,11.438625813211152
Group,Control,DT,68893,765,38.808834424397254,0.5069798259957019,-0.5130612244897748,9.589354919098797,14.64291019402294,0.5635453817846514,26.798460520512325,6.221428571428589,-13.555611125597562,15.67930516875144
Group,Control,ANN,68893,765,38.808834424397254,3.297795344516505,1.3490757372008915,10.8858854931882,15.702033530745398,0.49812438312985985,30.975304836383394,7.512404674359395,-12.698923247755761,21.478494396076055
Group,Control,ElasticNet,68893,765,38.808834424397254,5.2340441039453625,2.4695839285460863,14.235441332479226,20.466671728048247,0.14733439789377833,38.76380392453239,10.033946227699928,-15.239777941750743,28.453819180410914
Group,Treatment,RF,5475,61,42.712867579908675,-0.26796605801871826,-1.136840717251303,6.255027146849858,8.772027786211932,0.834172514400293,16.600926249237226,4.6512661277056395,-9.336781448810935,9.553758618037572
